DateTime,TimeOfData,VRN,NS,Latitude,Longitude,Speed,Heading,Fix,UID
2018-11-30 09:52:16,2018-11-30 09:49:52,LS16FHY,tm8.gps.jny.end,51.739964,-0.47114,0,284,3,353386062748716
2018-11-30 09:49:58,2018-11-30 09:49:23,LS16FHY,tm8.gps,51.739965,-0.471145,0,284,3,353386062748716
2018-11-30 09:49:58,2018-11-30 09:48:23,LS16FHY,tm8.gps,51.740007,-0.471173,0,284,3,353386062748716
2018-11-30 09:47:51,2018-11-30 09:47:23,LS16FHY,tm8.gps,51.739976,-0.471151,0,284,3,353386062748716
2018-11-30 09:45:45,2018-11-30 09:45:23,LS16FHY,tm8.gps,51.739942,-0.4711,0,284,3,353386062748716
2018-11-30 09:46:47,2018-11-30 09:46:23,LS16FHY,tm8.gps,51.739947,-0.471084,0,284,3,353386062748716
2018-11-30 09:45:45,2018-11-30 09:44:23,LS16FHY,tm8.gps,51.739919,-0.471127,0,284,3,353386062748716
2018-11-30 09:44:42,2018-11-30 09:43:23,LS16FHY,tm8.gps,51.739931,-0.471119,0,284,3,353386062748716
2018-11-30 09:42:13,2018-11-30 09:41:23,LS16FHY,tm8.gps,51.739769,-0.470782,1.25,284,3,353386062748716
2018-11-30 09:43:18,2018-11-30 09:42:23,LS16FHY,tm8.gps,51.739907,-0.471135,0,284,3,353386062748716
2018-11-30 09:41:10,2018-11-30 09:40:23,LS16FHY,tm8.gps,51.739739,-0.470424,0,284,3,353386062748716
2018-11-30 09:40:07,2018-11-30 09:39:23,LS16FHY,tm8.gps,51.7397,-0.470446,0,284,3,353386062748716
2018-11-30 09:39:05,2018-11-30 09:38:23,LS16FHY,tm8.gps,51.739689,-0.470439,0,284,3,353386062748716
2018-11-30 09:38:00,2018-11-30 09:37:23,LS16FHY,tm8.gps,51.739706,-0.470358,0,284,3,353386062748716
2018-11-30 09:36:57,2018-11-30 09:36:23,LS16FHY,tm8.gps,51.739715,-0.470383,0,284,3,353386062748716
2018-11-30 09:36:57,2018-11-30 09:35:23,LS16FHY,tm8.gps,51.739762,-0.470426,0,284,3,353386062748716
2018-11-30 09:34:51,2018-11-30 09:34:23,LS16FHY,tm8.gps,51.739741,-0.470406,0,284,3,353386062748716
2018-11-30 09:33:48,2018-11-30 09:33:23,LS16FHY,tm8.gps,51.739758,-0.470362,0,284,3,353386062748716
2018-11-30 09:32:45,2018-11-30 09:32:23,LS16FHY,tm8.gps,51.740301,-0.467862,0.25,211,3,353386062748716
2018-11-30 09:31:42,2018-11-30 09:31:23,LS16FHY,tm8.gps,51.74119,-0.463343,10.5,211,3,353386062748716
2018-11-30 09:30:39,2018-11-30 09:30:23,LS16FHY,tm8.gps,51.745289,-0.457066,12.25,221,3,353386062748716
2018-11-30 09:30:39,2018-11-30 09:29:23,LS16FHY,tm8.gps,51.748423,-0.451533,11,175,3,353386062748716
2018-11-30 09:28:32,2018-11-30 09:28:23,LS16FHY,tm8.gps,51.752752,-0.449281,5,113,3,353386062748716
2018-11-30 09:28:32,2018-11-30 09:27:23,LS16FHY,tm8.gps,51.755919,-0.453435,8,147,3,353386062748716
2018-11-30 09:27:29,2018-11-30 09:26:23,LS16FHY,tm8.gps,51.757777,-0.446534,10.25,249,3,353386062748716
2018-11-30 09:26:26,2018-11-30 09:25:23,LS16FHY,tm8.gps,51.762995,-0.447562,12.5,170,3,353386062748716
2018-11-30 09:25:21,2018-11-30 09:24:23,LS16FHY,tm8.gps,51.768841,-0.448633,9.75,173,3,353386062748716
2018-11-30 09:24:15,2018-11-30 09:23:23,LS16FHY,tm8.gps,51.772556,-0.444274,15.5,232,3,353386062748716
2018-11-30 09:23:13,2018-11-30 09:22:23,LS16FHY,tm8.gps,51.775495,-0.435778,14.5,255,3,353386062748716
2018-11-30 09:22:04,2018-11-30 09:21:23,LS16FHY,tm8.gps,51.779496,-0.424136,23.25,241,3,353386062748716
2018-11-30 09:21:02,2018-11-30 09:20:23,LS16FHY,tm8.gps,51.788201,-0.410794,21.75,216,3,353386062748716
2018-11-30 09:19:58,2018-11-30 09:19:23,LS16FHY,tm8.gps,51.793602,-0.394416,18.5,234,3,353386062748716
2018-11-30 09:18:55,2018-11-30 09:18:23,LS16FHY,tm8.gps,51.800542,-0.38778,16,197,3,353386062748716
2018-11-30 09:17:51,2018-11-30 09:17:23,LS16FHY,tm8.gps,51.801801,-0.380474,16,260,3,353386062748716
2018-11-30 09:16:50,2018-11-30 09:16:23,LS16FHY,tm8.gps,51.801769,-0.368444,15.5,293,3,353386062748716
2018-11-30 09:15:47,2018-11-30 09:15:23,LS16FHY,tm8.gps,51.803269,-0.358106,13.5,229,3,353386062748716
2018-11-30 09:14:45,2018-11-30 09:14:23,LS16FHY,tm8.gps,51.805966,-0.348981,10.5,253,3,353386062748716
2018-11-30 09:13:42,2018-11-30 09:13:23,LS16FHY,tm8.gps,51.808952,-0.348405,11,128,3,353386062748716
2018-11-30 09:07:05,2018-11-30 09:06:23,LS16FHY,tm8.gps,51.818881,-0.340006,0,56,3,353386062748716
2018-11-30 09:08:24,2018-11-30 09:07:23,LS16FHY,tm8.gps,51.818877,-0.340015,0,56,3,353386062748716
2018-11-30 09:09:29,2018-11-30 09:08:23,LS16FHY,tm8.gps,51.818878,-0.339985,0,56,3,353386062748716
2018-11-30 09:09:29,2018-11-30 09:09:23,LS16FHY,tm8.gps,51.818895,-0.340009,0,56,3,353386062748716
2018-11-30 09:11:36,2018-11-30 09:10:23,LS16FHY,tm8.gps,51.818883,-0.336864,2,101,3,353386062748716
2018-11-30 09:11:36,2018-11-30 09:11:23,LS16FHY,tm8.gps,51.815886,-0.341545,8.5,224,3,353386062748716
2018-11-30 09:12:38,2018-11-30 09:12:23,LS16FHY,tm8.gps,51.812145,-0.345176,13.25,238,3,353386062748716
2018-11-30 09:05:56,2018-11-30 09:04:17,LS16FHY,tm8.gps.jny.start,51.818888,-0.340006,0,56,3,353386062748716
